Instrument,YahooStockSymbol
COALINDIA,COALINDIA.NS
COASTCORP,COASTCORP.NS
COCHINSHIP,COCHINSHIP.NS
COFFEEDAY,COFFEEDAY.NS
COFORGE,COFORGE.NS
COLPAL,COLPAL.NS
COMPINFO,COMPINFO.NS
COMPUSOFT,COMPUSOFT.NS
CONCOR,CONCOR.NS
CONFIPET,CONFIPET.NS
CONSOFINVT,CONSOFINVT.NS
CONSUMBEES,CONSUMBEES.NS
CONTROLPR,CONTROLPR.NS
CORALFINAC,CORALFINAC.NS
CORDSCABLE,CORDSCABLE.NS
COROMANDEL,COROMANDEL.NS
COSMOFIRST,COSMOFIRST.NS
CPSEETF,CPSEETF.NS
CRAFTSMAN,CRAFTSMAN.NS
CREATIVE,CREATIVE.NS
CREATIVEYE,CREATIVEYE.NS
CREDITACC,CREDITACC.NS
CREST,CREST.NS
CRISIL,CRISIL.NS
CROMPTON,CROMPTON.NS
CSBBANK,CSBBANK.NS
CSLFINANCE,CSLFINANCE.NS
CTE,CTE.NS
CUB,CUB.NS
CUBEXTUB,CUBEXTUB.NS
CUMMINSIND,CUMMINSIND.NS
CUPID,CUPID.NS
CYBERMEDIA,CYBERMEDIA.NS
CYBERTECH,CYBERTECH.NS
CYIENT,CYIENT.NS
DAAWAT,DAAWAT.NS
DABUR,DABUR.NS
DALBHARAT,DALBHARAT.NS
DALMIASUG,DALMIASUG.NS
DAMODARIND,DAMODARIND.NS
DANGEE,DANGEE.NS
DATAMATICS,DATAMATICS.NS
DATAPATTNS,DATAPATTNS.NS
DBCORP,DBCORP.NS
DBL,DBL.NS
DBOL,DBOL.NS
DBREALTY,DBREALTY.NS
DBSTOCKBRO,DBSTOCKBRO.NS
DCAL,DCAL.NS
DCBBANK,DCBBANK.NS
DCM,DCM.NS
DCMFINSERV,DCMFINSERV.NS
DCMNVL,DCMNVL.NS
DCMSHRIRAM,DCMSHRIRAM.NS
DCMSRIND,DCMSRIND.NS
DCW,DCW.NS
DCXINDIA,DCXINDIA.NS
DECCANCE,DECCANCE.NS
DEEPAKFERT,DEEPAKFERT.NS
DEEPAKNTR,DEEPAKNTR.NS
DEEPENR,DEEPENR.NS
DEEPINDS,DEEPINDS.NS
DELHIVERY,DELHIVERY.NS
DELPHIFX,DELPHIFX.NS
DELTACORP,DELTACORP.NS
DELTAMAGNT,DELTAMAGNT.NS
DEN,DEN.NS
DENORA,DENORA.NS
DEVYANI,DEVYANI.NS
DFMFOODS,DFMFOODS.NS
DGCONTENT,DGCONTENT.NS
DHAMPURSUG,DHAMPURSUG.NS
DHANBANK,DHANBANK.NS
DHANI,DHANI.NS
DHANUKA,DHANUKA.NS
DHARMAJ,DHARMAJ.NS
DHRUV,DHRUV.NS
DHUNINV,DHUNINV.NS
DIAMONDYD,DIAMONDYD.NS
DICIND,DICIND.NS
DIGISPICE,DIGISPICE.NS
DIL,DIL.NS
DISHTV,DISHTV.NS
DIVISLAB,DIVISLAB.NS
DIVOPPBEES,DIVOPPBEES.NS
DIXON,DIXON.NS
DJML,DJML.NS
DLF,DLF.NS
DLINKINDIA,DLINKINDIA.NS
DMART,DMART.NS
DMCC,DMCC.NS
DNAMEDIA,DNAMEDIA.NS
DODLA,DODLA.NS
DOLATALGO,DOLATALGO.NS
DOLLAR,DOLLAR.NS
DONEAR,DONEAR.NS
DPABHUSHAN,DPABHUSHAN.NS
DPSCLTD,DPSCLTD.NS
DPWIRES,DPWIRES.NS
DREAMFOLKS,DREAMFOLKS.NS
DREDGECORP,DREDGECORP.NS
DRREDDY,DRREDDY.NS
DSPBANKETF,DSPBANKETF.NS
DSPN50ETF,DSPN50ETF.NS
DSPNEWETF,DSPNEWETF.NS
DSPQ50ETF,DSPQ50ETF.NS
DSPSILVETF,DSPSILVETF.NS
DSSL,DSSL.NS
DTIL,DTIL.NS
DVL,DVL.NS
